tweet_id,timestamp,source,name,jpg_url,favorite_count,retweet_count,month,year,day,stage,ratings,prediction,dog_breed,tweet_url
793962221541933056,2016-11-02,Twitter for iPhone,maximus,https://pbs.twimg.com/media/CwS4aqZXUAAe3IO.jpg,15861,4557,11,2016,2,unknown,1.2,100,labrador_retriever,https://t.co/xIfrsMNLBR
793845145112371200,2016-11-02,Twitter for iPhone,clark,https://pbs.twimg.com/media/CwRN8H6WgAASe4X.jpg,8741,1739,11,2016,2,unknown,1.3,100,old_english_sheepdog,https://t.co/2Xo19aPrG5
793614319594401792,2016-11-02,Twitter for iPhone,none,https://pbs.twimg.com/media/CvyVxQRWEAAdSZS.jpg,0,2917,11,2016,2,unknown,1.3,100,golden_retriever,https://t.co/O5IUmRHRIh
793601777308463104,2016-11-01,Twitter for iPhone,dobby,https://pbs.twimg.com/media/CwNwmxvXEAEJ54Z.jpg,7556,1511,11,2016,1,unknown,1.2,100,miniature_pinscher,https://t.co/LhzPWv6rTv
793500921481273345,2016-11-01,Twitter for iPhone,fiona,https://pbs.twimg.com/media/CwMU34YWIAAz1nU.jpg,10087,2223,11,2016,1,unknown,1.2,100,golden_retriever,https://t.co/aF5MmpvPqN
793286476301799424,2016-11-01,Twitter for iPhone,moreton,https://pbs.twimg.com/media/CwJR1okWIAA6XMp.jpg,23285,8565,11,2016,1,unknown,1.3,66,afghan_hound,https://t.co/rLHGx3VAF3
793271401113350145,2016-11-01,Twitter for iPhone,dave,https://pbs.twimg.com/media/CwJEIKTWYAAvL-T.jpg,8231,2238,11,2016,1,unknown,1.2,100,siberian_husky,https://t.co/MgQSdfZGPN
793256262322548741,2016-11-01,Twitter for iPhone,none,https://pbs.twimg.com/media/CwI2XCvXEAEO8mc.jpg,18868,7770,11,2016,1,unknown,1.2,100,basset,https://t.co/BNy9IIJMb0
793241302385262592,2016-11-01,Twitter for iPhone,tucker,https://pbs.twimg.com/media/CwIougTWcAAMLyq.jpg,9955,3064,11,2016,1,unknown,1.3,100,golden_retriever,https://t.co/Ap477GhwXt
793226087023144960,2016-10-31,Twitter for iPhone,juno,https://pbs.twimg.com/media/CwIa5CjW8AErZgL.jpg,9258,2705,10,2016,31,unknown,1.1,100,wire-haired_fox_terrier,https://t.co/hFxxBCWlwj
793210959003287553,2016-10-31,Twitter for iPhone,maude,https://pbs.twimg.com/media/CwINKJeW8AYHVkn.jpg,8448,2600,10,2016,31,unknown,1.0,66,doormat,https://t.co/etL8FHBrh8
793195938047070209,2016-10-31,Twitter for iPhone,lily,https://pbs.twimg.com/media/CwH_foYWgAEvTyI.jpg,14398,5255,10,2016,31,puppo,1.2,100,labrador_retriever,https://t.co/YSi6K1firY
793180763617361921,2016-10-31,Twitter for iPhone,newt,https://pbs.twimg.com/media/CwHxsdYVMAAqGCJ.jpg,6542,1857,10,2016,31,unknown,1.1,100,lakeland_terrier,https://t.co/2VhmlwxA1Q
793165685325201412,2016-10-31,Twitter for iPhone,benji,https://pbs.twimg.com/media/CwHj-jGWAAAnsny.jpg,8876,2618,10,2016,31,unknown,1.2,66,golden_retriever,https://t.co/IbzT7DJvBo
793150605191548928,2016-10-31,Twitter for iPhone,nida,https://pbs.twimg.com/media/CwHWOZ7W8AAHv8S.jpg,5834,1592,10,2016,31,unknown,1.1,100,italian_greyhound,https://t.co/3lE8Izgmkf
793135492858580992,2016-10-31,Twitter for iPhone,none,https://pbs.twimg.com/media/CwHIg61WIAApnEV.jpg,6058,2348,10,2016,31,unknown,1.3,0,bakery,https://t.co/PrgvOyPtDT
